Best parameters set found on development set:
0.64891 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62139 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62139 (+/-0.046) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62139 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62117 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 8, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.024) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62117 (+/-0.034) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62117 (+/-0.028) for {'classification__algorithm': 'auto', 'classification__leaf_size': 29, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62117 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62117 (+/-0.040) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62117 (+/-0.030) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 13, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.034) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 27, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62117 (+/-0.038) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 23, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.024) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 13, 'classification__p': 1, 'classification__weights': 'distance'}
0.62117 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62117 (+/-0.025) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62095 (+/-0.020) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62095 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 9, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62095 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62095 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62095 (+/-0.042) for {'classification__algorithm': 'auto', 'classification__leaf_size': 18, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62095 (+/-0.044) for {'classification__algorithm': 'auto', 'classification__leaf_size': 29, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62095 (+/-0.018) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62095 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62095 (+/-0.024) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62095 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 11, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62095 (+/-0.038) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 13, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62095 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62095 (+/-0.020) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62095 (+/-0.036) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'distance'}
0.62095 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 11, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62095 (+/-0.031) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62095 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62095 (+/-0.026) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62073 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 2, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62073 (+/-0.044) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.025) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62073 (+/-0.023) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'distance'}
0.62073 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62073 (+/-0.040) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.036) for {'classification__algorithm': 'auto', 'classification__leaf_size': 15, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.036) for {'classification__algorithm': 'auto', 'classification__leaf_size': 16, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 21, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.023) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 19, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 30, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.034) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 21, 'classification__p': 1, 'classification__weights': 'distance'}
0.62073 (+/-0.023) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 15, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.040) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.039) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 13, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.034) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 13, 'classification__p': 2, 'classification__weights': 'distance'}
0.62073 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62073 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 19, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62073 (+/-0.021) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 26, 'classification__n_neighbors': 11, 'classification__p': 2, 'classification__weights': 'uniform'}
0.62073 (+/-0.029) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 17, 'classification__p': 2, 'classification__weights': 'distance'}
0.62051 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62051 (+/-0.041) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 15, 'classification__p': 2, 'classification__weights': 'distance'}
0.62051 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 13, 'classification__p': 1, 'classification__weights': 'uniform'}
0.62051 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 17, 'classification__p': 1, 'classification__weights': 'uniform'}
